mb_role	hemibrain_type	side	n
APL	APL	left	1
APL	APL	right	1
DAN	PAM01	left	20
DAN	PAM01	right	19
DAN	PAM02	left	8
DAN	PAM02	right	7
DAN	PAM03	left	4
DAN	PAM03	right	6
DAN	PAM04	left	16
DAN	PAM04	right	14
DAN	PAM05	left	9
DAN	PAM05	right	10
DAN	PAM06	left	15
DAN	PAM06	right	15
DAN	PAM07	left	8
DAN	PAM07	right	10
DAN	PAM08	left	20
DAN	PAM08	right	19
DAN	PAM09	left	6
DAN	PAM09	right	4
DAN	PAM10	left	6
DAN	PAM10	right	7
DAN	PAM11	left	8
DAN	PAM11	right	8
DAN	PAM12	left	10
DAN	PAM12	right	12
DAN	PAM13	left	5
DAN	PAM13	right	6
DAN	PAM14	left	9
DAN	PAM14	right	8
DAN	PAM15	left	2
DAN	PAM15	right	2
DAN	PPL101	left	1
DAN	PPL101	right	1
DAN	PPL102	left	1
DAN	PPL102	right	1
DAN	PPL103	left	1
DAN	PPL103	right	1
DAN	PPL104	left	1
DAN	PPL104	right	1
DAN	PPL105	left	1
DAN	PPL105	right	1
DAN	PPL106	left	1
DAN	PPL106	right	1
DAN	PPL107	left	1
DAN	PPL107	right	1
DAN	PPL201	left	1
DAN	PPL201	right	1
DAN	PPL202	left	1
DAN	PPL202	right	1
DAN	PPL203	left	1
DAN	PPL203	right	1
DAN		left	8
DAN		right	5
Kenyon_Cell	KCa'b'-ap1	left	148
Kenyon_Cell	KCa'b'-ap1	right	132
Kenyon_Cell	KCa'b'-ap2	left	138
Kenyon_Cell	KCa'b'-ap2	right	160
Kenyon_Cell	KCa'b'-m	left	164
Kenyon_Cell	KCa'b'-m	right	174
Kenyon_Cell	KCab-c	left	190
Kenyon_Cell	KCab-c	right	213
Kenyon_Cell	KCab-m	left	343
Kenyon_Cell	KCab-m	right	276
Kenyon_Cell	KCab-p	left	67
Kenyon_Cell	KCab-p	right	61
Kenyon_Cell	KCab-s	left	311
Kenyon_Cell	KCab-s	right	310
Kenyon_Cell	KCg-d	left	147
Kenyon_Cell	KCg-d	right	148
Kenyon_Cell	KCg-m	left	1069
Kenyon_Cell	KCg-m	right	1121
Kenyon_Cell	KCg-s1	left	1
Kenyon_Cell	KCg-s1	right	1
