Postsynaptic_ID	c_i
720575940602553568	1.0000
720575940602564320	0.3538
720575940602605536	0.5588
720575940602815200	0.3824
720575940603050668	1.0000
720575940603084972	0.5000
720575940603111392	0.3519
720575940603174368	0.2857
720575940603317216	0.6094
720575940603520172	0.0000
720575940603642982	0.6481
720575940603673120	0.9104
720575940603674656	0.4844
720575940603687084	1.0000
720575940603688224	0.4762
720575940603719712	0.4211
720575940603721248	0.1429
720575940603747616	0.4062
720575940603751782	0.1757
720575940603773798	1.0000
720575940603882720	0.3093
720575940603883232	0.3678
720575940603984486	0.2581
720575940603988838	0.1429
720575940604008672	0.6923
720575940604050110	0.6234
720575940604093984	0.2128
720575940604103200	0.4474
720575940604126129	0.5256
720575940604131296	0.1489
720575940604132710	0.5591
720575940604168224	0.6471
720575940604182374	1.0000
720575940604304561	0.0000
720575940604318129	0.3667
720575940604319078	0.5909
720575940604402092	0.3367
720575940604466912	0.3627
720575940604478176	0.2353
720575940604483040	0.7778
720575940604489649	0.0000
720575940604493024	0.4336
720575940604500448	0.6081
720575940604509374	0.4340
720575940604550590	0.6444
720575940604557792	0.5464
720575940604576689	0.8310
720575940604620512	0.4714
720575940604626912	0.9167
720575940604630240	0.2045
720575940604630496	0.1087
720575940604766153	0.7714
720575940604770249	0.4324
720575940604806345	0.7347
720575940604824236	0.4062
720575940604833196	0.6667
720575940604860332	0.8088
720575940604873132	0.0625
720575940604884396	0.7903
720575940604908972	0.0000
720575940604924606	0.5422
720575940604934572	0.3239
720575940604935340	0.1795
720575940604961126	0.0000
720575940604961894	0.5753
720575940604962918	0.0147
720575940604963686	0.1667
720575940604963942	0.4333
720575940604978534	0.3699
720575940604985888	0.0000
720575940604991264	0.4878
720575940604997152	0.5842
720575940604999526	0.6125
720575940605000550	0.8125
720575940605018726	0.0000
720575940605029250	0.5484
720575940605036418	0.2927
720575940605060798	0.2521
720575940605083838	0.4272
720575940605167025	0.5833
720575940605171121	0.4462
720575940605180337	0.2981
720575940605180849	0.4419
720575940605184102	0.4386
720575940605196465	0.8986
720575940605197745	0.6979
720575940605236866	0.4578
720575940605246850	0.2586
720575940605252041	0.3000
720575940605290441	0.2419
720575940605312945	0.4932
720575940605338290	0.4559
720575940605362610	0.4023
720575940605407846	0.2903
720575940605412738	0.0000
720575940605421670	0.7727
720575940605431840	0.0105
