	DA3	DA4l	DA4m	DC1	DL1	DL3	DL4	DL5	DM2	DM3	DM4	DM5	DM6	VA1d	VA1v	VA5	VA6	VC3l	VC3m	VC4	VM2	VM3	VM5d	VM5v
2-heptanone	23.2994	48.3699	34.7957	103.3995	20.6622	40.0012	34.7957	7.5847	83.4308	118.1777	17.1981	34.7957	110.3575	33.0385	25.9545	18.9208	35.6708	93.7384	93.7384	30.3885	56.2538	80.1160	116.4538	115.9433
6-methyl-5-hepten-2-one	34.8493	24.7263	52.9154	88.4057	18.0415	65.1492	39.2699	0.0000	82.4554	39.2699	0.5534	3.5572	135.3366	6.8638	51.9126	1.0138	73.5295	2.1659	2.1659	18.0415	46.7752	59.6907	138.7188	135.1870
alpha-humulene	16.9679	32.6431	20.8249	73.5763	13.2335	54.9371	6.4263	86.2104	44.1705	20.8249	1.2769	32.6431	40.3967	96.5861	118.0315	47.8576	24.7504	67.8024	67.8024	54.9371	20.8249	1.2769	96.5861	32.6431
benzaldehyde	2.0355	66.3090	11.2514	12.4743	117.9054	5.6302	65.2588	137.4579	41.6113	24.2410	5.6302	21.5528	136.4793	24.2410	32.3447	105.5776	3.7012	100.5792	100.5792	10.0561	12.4743	69.3822	58.6854	49.2079
ethyl lactate	15.8826	24.7457	45.7547	51.9456	43.6294	47.8501	78.9182	46.8062	71.1457	27.0023	107.4661	51.9456	48.8862	14.8120	14.8120	40.3900	56.8745	18.0564	18.0564	141.4387	86.5271	74.3572	83.1849	74.3572
ethyl octanoate	10.9355	24.1445	24.1445	62.5762	0.0000	73.0051	20.7255	27.5872	142.2528	56.8591	0.0000	14.0815	1.0409	62.5762	101.6867	2.9106	62.5762	10.9355	10.9355	17.3593	10.9355	10.9355	116.1920	91.9469
hexanal	21.5256	15.2601	27.9547	0.0000	46.7839	33.1003	56.0204	131.5226	117.6716	52.6390	17.7330	36.9189	44.3701	15.2601	26.6648	1.8971	24.0885	133.1110	133.1110	20.2528	51.4895	40.6806	138.8294	45.5818
isopentyl acetate	18.8101	25.5746	54.1426	78.3130	119.0405	17.1530	22.1728	0.0000	122.0196	85.2201	34.0899	0.0000	93.1712	14.7106	3.4163	10.0488	39.9431	26.4279	26.4279	39.1158	71.2329	94.0329	123.5898	126.4742
methyl octanoate	8.2473	12.3641	14.5427	59.1677	0.5886	78.4153	12.3641	16.7794	153.5365	102.0796	0.0000	1.6540	4.5939	35.4243	42.2784	21.3735	64.8804	55.1643	55.1643	12.3641	8.2473	10.2594	115.3790	70.2411
diethyl succinate	59.4346	18.6517	39.9708	84.4780	0.4474	38.0692	30.3268	6.3403	147.0954	62.6397	0.0000	1.2593	144.1070	52.7022	52.7022	4.8680	78.3506	0.0000	0.0000	18.6517	6.3403	39.9708	78.3506	24.4571
pentanal	3.3971	9.2598	49.7577	10.9307	31.3993	29.4897	54.8623	143.7736	102.4738	48.0085	18.0935	16.2481	86.4718	38.9445	40.7956	0.0000	42.6290	119.0176	119.0176	42.6290	19.9635	44.4431	97.4061	64.3888
pentyl acetate	17.8890	21.2229	29.7050	100.5755	5.8100	37.2889	28.8550	5.8100	101.6731	123.0297	49.3752	30.5542	119.9559	22.9094	13.0508	7.8323	24.6038	115.5370	115.5370	13.0508	66.5477	64.5611	114.2637	114.2637
butyl acetate	23.9407	26.3691	40.7858	41.5648	90.8762	26.3691	43.8815	0.0000	115.0010	112.4890	33.6475	0.6189	103.3713	14.4601	3.1659	15.2246	35.2508	56.3355	56.3355	34.4502	90.0066	95.8075	124.4857	120.1271
1-octen-3-ol	21.3923	94.4330	28.4313	116.2939	3.6702	27.4226	31.4525	19.4064	96.3959	76.8958	10.8624	47.0556	115.4141	5.0843	10.8624	16.4719	43.2707	109.9408	109.9408	23.3941	39.3982	49.8304	120.3541	124.1364
