flyid,sugarR_100Hz,sugarR_200Hz,sugarR_20Hz
720575940605420902,0.0,0.6,0.0
720575940605513649,4.0,6.8,0.0
720575940605658033,19.4,25.4,0.0
720575940605682790,11.4,19.0,0.0
720575940606391218,0.0,1.4,0.0
720575940606607234,15.0,20.0,0.0
720575940606852018,0.2,2.0,0.0
720575940606866377,52.8,85.4,0.0
720575940607193986,29.2,47.0,0.0
720575940607250610,0.2,0.0,0.0
720575940607272649,44.0,71.4,0.0
720575940607386290,14.4,34.6,0.0
720575940607387314,0.2,0.2,0.0
720575940607451081,28.8,39.6,0.4
720575940607689394,3.4,16.2,0.0
720575940608349379,4.0,7.6,0.0
720575940608498780,18.6,33.2,0.0
720575940608735241,14.4,30.6,0.0
720575940609016843,4.0,7.2,0.0
720575940609133269,11.6,28.4,0.0
720575940609405635,16.0,35.0,0.0
720575940609407939,33.2,49.8,0.0
720575940609915204,25.4,43.8,0.0
720575940609935172,13.4,20.4,0.0
720575940609939780,12.6,24.0,0.0
720575940609993284,18.2,23.8,0.0
720575940610000964,12.8,26.6,0.0
720575940610001220,4.6,10.8,0.0
720575940610054980,50.8,84.0,0.0
720575940610058052,0.2,0.4,0.0
720575940610232274,6.0,16.6,0.0
720575940610258552,22.4,40.2,0.0
720575940610611246,5.4,14.8,0.0
720575940610621026,3.2,2.6,0.0
720575940610677828,34.0,58.4,0.0
720575940610803554,19.4,41.0,0.0
720575940610916465,17.0,43.6,0.0
720575940611015122,8.6,50.2,0.0
720575940611151406,1.0,14.2,0.0
720575940611160930,21.0,36.4,0.0
720575940611164770,8.2,18.2,0.0
720575940611366058,0.4,13.2,0.0
720575940611436408,17.2,32.6,0.0
720575940611548878,26.0,52.0,0.0
720575940611549902,8.2,29.4,0.0
720575940611875570,95.6,199.0,20.6
720575940611988197,1.2,10.0,0.0
720575940612036837,35.0,38.0,1.6
720575940612064113,47.8,81.6,0.0
720575940612154339,0.0,0.8,0.0
720575940612208858,8.4,15.0,0.0
720575940612289010,3.2,17.8,0.0
720575940612357618,10.4,14.0,0.0
720575940612423922,47.6,72.8,0.0
720575940612479205,1.2,17.4,0.0
720575940612537061,1.4,6.4,0.0
720575940612558061,22.6,34.0,0.0
720575940612603289,2.4,1.4,0.0
720575940612611301,56.2,85.2,1.6
720575940612648106,1.8,29.0,0.0
720575940612670570,101.4,197.8,21.0
720575940612692633,45.6,63.8,0.0
720575940612766515,4.0,7.4,0.0
720575940612865814,0.0,4.0,0.0
720575940612888178,26.8,42.2,0.0
720575940612906518,60.4,88.0,1.0
720575940612952557,6.2,21.6,0.0
720575940613004402,13.2,27.2,0.0
720575940613347299,21.8,35.2,0.0
720575940613670893,12.0,27.0,0.0
720575940613687789,24.2,46.0,0.0
720575940613743569,3.0,2.8,0.0
720575940613929391,17.0,40.6,0.0
720575940613943215,11.2,26.0,0.0
720575940614128691,19.4,28.0,0.0
720575940614352278,0.2,0.0,0.0
720575940614386070,0.2,0.0,0.0
720575940614465478,0.0,0.2,0.0
720575940614570415,0.2,0.0,0.0
720575940614660519,8.4,31.8,0.0
720575940614730914,16.6,11.2,0.2
720575940614763666,61.8,94.0,9.4
720575940614909506,3.4,0.6,0.0
720575940615041430,94.8,124.4,3.4
720575940615052812,7.8,19.4,0.0
720575940615153494,3.2,5.4,0.0
720575940615296818,15.8,31.8,0.0
720575940615564959,3.0,5.8,0.0
720575940615582111,1.0,8.2,0.0
720575940615623867,3.6,9.0,0.0
720575940615671106,62.8,94.8,0.2
720575940615715003,5.2,1.6,0.0
720575940615811670,2.8,11.0,0.0
720575940616018956,58.4,89.0,0.0
720575940616103218,58.6,93.0,0.4
720575940616466260,38.6,60.2,0.0
720575940616644411,15.4,30.0,0.0
720575940616857174,34.0,53.6,0.0
720575940616860758,1.0,3.8,0.0
720575940616864086,26.2,38.4,0.0
720575940616864217,34.2,55.8,0.0
720575940616885538,102.4,192.4,16.8
720575940617000768,93.8,199.6,27.2
720575940617373268,0.0,10.0,0.0
720575940617471133,2.0,0.2,0.0
720575940617488477,6.4,14.0,0.0
720575940617494877,7.2,18.2,0.0
720575940617497437,0.0,0.2,0.0
720575940617552057,30.6,49.0,0.0
720575940617588258,29.0,41.6,0.0
720575940617593233,42.6,74.0,0.0
720575940617629841,33.4,58.4,0.0
720575940617672920,0.0,1.4,0.0
720575940617937543,104.6,212.0,19.4
720575940618153105,0.0,1.4,0.0
720575940618165019,87.0,131.2,0.0
720575940618472261,36.8,63.4,0.0
720575940618574749,35.2,40.2,0.0
720575940618696989,15.6,45.8,0.0
720575940618726171,4.8,21.8,0.0
720575940618800064,0.0,0.6,0.0
720575940618859480,0.4,22.4,0.0
720575940618864725,2.6,4.0,0.0
720575940618995393,4.0,7.4,0.0
720575940619048827,48.2,79.8,0.0
720575940619114048,18.8,33.6,0.0
720575940619173534,13.0,21.2,0.0
720575940619176094,0.0,1.6,0.0
720575940619455879,1.2,2.0,0.0
720575940619473624,23.2,38.4,0.0
720575940619549598,0.2,0.0,0.0
720575940619588568,18.4,49.6,0.0
720575940619853515,29.0,39.0,0.0
720575940619877396,60.4,90.2,0.2
720575940619973712,91.2,126.0,13.0
720575940620025620,19.4,37.4,0.0
720575940620031366,37.2,56.8,0.0
720575940620062288,2.8,7.8,0.0
720575940620170887,17.0,39.4,0.0
720575940620254087,13.6,25.8,0.0
720575940620271636,0.8,0.6,0.0
720575940620274085,71.6,95.8,0.2
720575940620282900,4.0,7.4,0.0
720575940620292116,1.0,9.0,0.0
720575940620297819,0.2,0.2,0.0
720575940620335269,42.4,70.8,0.0
720575940620374693,11.2,26.8,0.0
720575940620473547,6.6,26.8,0.0
720575940620474278,2.8,13.2,0.0
720575940620673985,34.8,55.2,0.0
720575940620714150,8.4,4.4,0.0
720575940620780272,20.0,33.2,0.0
720575940620805046,6.8,13.2,0.0
720575940620873793,4.0,7.6,0.0
720575940620874757,72.6,115.2,11.8
720575940620900446,102.2,206.0,19.6
720575940621057702,3.4,20.0,0.0
720575940621261296,26.8,41.6,0.0
720575940621329328,0.0,3.0,0.0
720575940621345012,0.0,7.6,0.0
720575940621399899,35.8,57.2,0.0
720575940621422518,11.0,23.0,0.0
720575940621468404,4.0,7.4,0.0
720575940621502051,100.4,192.0,18.0
720575940621519130,2.0,0.6,0.0
720575940621538142,23.6,40.8,0.0
720575940621573030,14.0,27.8,0.0
720575940621573542,0.0,0.6,0.0
720575940621577036,2.6,15.6,0.0
720575940621586854,57.0,73.8,1.6
720575940621754367,98.8,197.2,19.2
720575940621771041,4.2,8.4,0.0
720575940621902085,0.0,3.4,0.0
720575940622027222,6.8,2.6,0.0
720575940622147873,0.0,0.2,0.0
720575940622235425,43.0,67.2,0.0
720575940622348156,16.2,25.6,0.0
720575940622474899,0.0,3.2,0.0
720575940622552675,0.6,0.8,0.0
720575940622612749,19.8,41.2,0.0
720575940622624214,3.8,7.2,0.0
720575940622695448,115.2,156.0,33.4
720575940622734106,0.0,3.4,0.0
720575940622810153,32.0,52.0,0.0
720575940623072013,4.0,7.6,0.0
720575940623192781,15.8,30.4,0.0
720575940623209165,21.0,39.0,0.0
720575940623210445,43.2,80.0,1.6
720575940623211725,49.2,78.6,0.0
720575940623224555,0.2,1.8,0.0
720575940623352063,68.6,92.4,1.6
720575940623453959,20.2,32.6,0.0
720575940623478115,4.6,20.4,0.0
720575940623578375,31.2,51.2,0.0
720575940623862015,0.0,0.8,0.0
720575940623886008,0.0,0.8,0.0
720575940624023188,19.4,32.8,0.0
720575940624084372,7.8,3.6,0.0
720575940624163303,1.6,0.6,0.0
720575940624310857,3.0,13.2,0.0
720575940624366845,1.0,2.0,0.0
720575940624484796,39.4,61.0,0.0
720575940624600840,7.6,9.8,0.0
720575940624623287,22.0,40.0,0.0
720575940624816115,0.2,0.0,0.0
720575940624897516,27.2,38.2,0.0
720575940624906483,20.0,38.6,0.0
720575940624963786,97.4,184.6,22.2
720575940624966840,22.2,41.8,0.0
720575940624986919,0.2,0.0,0.0
720575940625045180,58.8,94.8,0.0
720575940625047484,36.8,59.2,0.0
720575940625102692,38.2,63.8,0.0
